id,assessment_id,student_id,score,is_absent,graded_on
1,2,1,10.0,False,2026-07-10
2,2,2,8.0,False,2026-07-15
3,2,3,9.3,False,2026-07-15
4,2,4,7.2,False,2026-07-12
5,2,5,3.9,False,2026-07-08
6,2,6,7.4,False,2026-07-12
7,2,7,10.0,False,2026-07-11
8,2,8,7.9,False,2026-07-11
9,2,9,6.6,False,2026-07-07
10,2,10,9.4,False,2026-07-13
11,2,11,7.6,False,2026-07-14
12,2,12,7.3,False,2026-07-11
13,2,13,7.9,False,2026-07-10
14,2,14,8.0,False,2026-07-10
15,2,15,7.2,False,2026-07-12
16,2,16,8.1,False,2026-07-09
17,2,17,10.0,False,2026-07-08
18,2,18,5.1,False,2026-07-11
19,2,19,7.6,False,2026-07-12
20,2,20,7.0,False,2026-07-10
21,2,21,6.9,False,2026-07-12
22,2,22,10.0,False,2026-07-11
23,3,1,10.0,False,2026-07-15
24,3,2,8.3,False,2026-07-17
25,3,3,6.5,False,2026-07-18
26,3,4,8.1,False,2026-07-16
27,3,5,5.8,False,2026-07-21
28,3,6,8.5,False,2026-07-16
29,3,7,9.8,False,2026-07-16
30,3,8,6.8,False,2026-07-14
31,3,9,7.0,False,2026-07-16
32,3,10,8.2,False,2026-07-16
33,3,11,6.6,False,2026-07-20
34,3,12,8.8,False,2026-07-20
35,3,13,0.0,True,2026-07-22
36,3,14,9.2,False,2026-07-19
37,3,15,10.0,False,2026-07-22
38,3,16,8.8,False,2026-07-14
39,3,17,9.5,False,2026-07-19
40,3,18,6.4,False,2026-07-15
41,3,19,6.8,False,2026-07-14
42,3,20,9.4,False,2026-07-18
43,3,21,6.7,False,2026-07-20
44,3,22,9.6,False,2026-07-16
45,4,1,20.0,False,2026-07-30
46,4,2,19.4,False,2026-08-04
47,4,3,19.5,False,2026-07-29
48,4,4,15.9,False,2026-08-03
49,4,5,13.5,False,2026-07-30
50,4,6,0.0,True,2026-07-28
51,4,7,20.0,False,2026-07-29
52,4,8,13.7,False,2026-08-04
53,4,9,15.3,False,2026-07-30
54,4,10,18.0,False,2026-07-31
55,4,11,17.0,False,2026-07-27
56,4,12,18.1,False,2026-08-01
57,4,13,14.5,False,2026-07-28
58,4,14,15.4,False,2026-07-27
59,4,15,16.9,False,2026-08-01
60,4,16,19.1,False,2026-08-03
61,4,17,20.0,False,2026-08-01
62,4,18,13.4,False,2026-07-29
63,4,19,17.4,False,2026-08-02
64,4,20,18.3,False,2026-08-03
65,4,21,16.9,False,2026-07-28
66,4,22,15.5,False,2026-07-27
67,5,1,10.0,False,2026-08-23
68,5,2,10.0,False,2026-08-22
69,5,3,9.0,False,2026-08-18
70,5,4,6.7,False,2026-08-23
71,5,5,6.2,False,2026-08-20
72,5,6,8.7,False,2026-08-16
73,5,7,9.1,False,2026-08-19
74,5,8,6.4,False,2026-08-21
75,5,9,4.4,False,2026-08-22
76,5,10,8.0,False,2026-08-19
77,5,11,6.9,False,2026-08-18
78,5,12,8.9,False,2026-08-24
79,5,13,0.0,True,2026-08-18
80,5,14,7.7,False,2026-08-23
81,5,15,9.2,False,2026-08-23
82,5,16,7.7,False,2026-08-21
